Symbol,ClosingPrice,Company Name
55331,187.1,ASHOKLEY24JANFUT
55345,1653.3,BATAINDIA24JANFUT
55329,5783.6,APOLLOHOSP24JANFUT
55372,152.75,DELTACORP24JANFUT
55349,1018.1,BHARTIARTL24JANFUT
55379,324.45,EXIDEIND24JANFUT
55326,1054,ADANIPORTS24JANFUT
55374,6486.65,DIXON24JANFUT
55360,1259.65,CIPLA24JANFUT
55413,439.9,INDHOTEL24JANFUT
55347,608.1,BERGEPAINT24JANFUT
55381,167.5,GAIL24JANFUT
55409,169.1,IEX24JANFUT
55353,455.65,BPCL24JANFUT
55363,2485.95,COLPAL24JANFUT
55433,3555.7,LT24JANFUT
55351,257.45,BIOCON24JANFUT
55418,203.85,INDUSTOWER24JANFUT
55362,6244.8,COFORGE24JANFUT
55320,4711.9,ABB24JANFUT
55404,536.1,ICICIPRULI24JANFUT
55371,2486.55,DEEPAKNTR24JANFUT
55332,3424.75,ASIANPAINT24JANFUT
55414,263.45,INDIACEM24JANFUT
55399,402.1,HINDPETRO24JANFUT
55417,1608.35,INDUSINDBK24JANFUT
55393,3241.75,HDFCAMC24JANFUT
55355,707.7,BSOFT24JANFUT
55415,2737,INDIAMART24JANFUT
55463,206.6,ONGC24JANFUT
55427,561.5,JUBLFOOD24JANFUT
55396,4110.7,HEROMOTOCO24JANFUT
55370,2372.55,DALBHARAT24JANFUT
55430,2594.95,LALPATHLAB24JANFUT
55425,3844.85,JKCEMENT24JANFUT
55395,654,HDFCLIFE24JANFUT
55398,273,HINDCOPPER24JANFUT
55392,1484.9,HCLTECH24JANFUT
55346,185.9,BEL24JANFUT
55432,565.95,LICHSGFIN24JANFUT
55377,4063.3,EICHERMOT24JANFUT
55341,2599.4,BALKRISIND24JANFUT
55444,1690.1,METROPOLIS24JANFUT
55450,130285,MRF24JANFUT
55428,1918.6,KOTAKBANK24JANFUT
55382,860.25,GLENMARK24JANFUT
55493,1267.15,SUNPHARMA24JANFUT
55500,332.15,TATAPOWER24JANFUT
55330,456.15,APOLLOTYRE24JANFUT
55503,140.65,TATASTEEL24JANFUT
55457,3877.5,NAVINFLUOR24JANFUT
55350,199.35,BHEL24JANFUT
55516,984.45,VOLTAS24JANFUT
55342,417.6,BALRAMCHIN24JANFUT
55348,1255.65,BHARATFORG24JANFUT
55510,3029.55,TRENT24JANFUT
55319,655.55,AARTIIND24JANFUT
55469,397.6,PFC24JANFUT
55364,868.45,CONCOR24JANFUT
55334,7203.7,ATUL24JANFUT
55335,782.15,AUBANK24JANFUT
55337,1105.9,AXISBANK24JANFUT
55401,1007.25,ICICIBANK24JANFUT
55459,212.75,NMDC24JANFUT
55383,80.75,GMRINFRA24JANFUT
55387,415.7,GRANULES24JANFUT
55324,2256.25,ACC24JANFUT
55519,479.9,WIPRO24JANFUT
55458,27534.4,NESTLEIND24JANFUT
55407,126.4,IDFC24JANFUT
55520,287.7,ZEEL24JANFUT
55416,3004.05,INDIGO24JANFUT
55357,783.45,CANFINHOME24JANFUT
55422,899,IRCTC24JANFUT
55368,1968.65,CUMMINSIND24JANFUT
55436,1323.6,LUPIN24JANFUT
55451,1467.95,MUTHOOTFIN24JANFUT
55394,1711.35,HDFCBANK24JANFUT
55378,2991.15,ESCORTS24JANFUT
55384,798.7,GNFC24JANFUT
55443,3197.1,MCX24JANFUT
55435,5246.9,LTTS24JANFUT
55448,106.5,MOTHERSON24JANFUT
55441,10345.55,MARUTI24JANFUT
55477,1023.2,RAMCOCEM24JANFUT
55487,28613.25,SHREECEM24JANFUT
55498,1083.75,TATACONSUM24JANFUT
55460,311.55,NTPC24JANFUT
55431,436.9,LAURUSLABS24JANFUT
55467,7350.2,PERSISTENT24JANFUT
55327,5156.9,ALKEM24JANFUT
55352,22614,BOSCHLTD24JANFUT
55321,22963.3,ABBOTINDIA24JANFUT
55508,2309.55,TORNTPHARM24JANFUT
55504,3834.5,TCS24JANFUT
55366,316.35,CROMPTON24JANFUT
55340,7355.65,BAJFINANCE24JANFUT
55389,488.2,GUJGASLTD24JANFUT
55343,246.3,BANDHANBNK24JANFUT
55333,1918.5,ASTRAL24JANFUT
55338,6754.75,BAJAJ-AUTO24JANFUT
55356,446.1,CANBK24JANFUT
55322,167,ABCAPITAL24JANFUT
55471,3505.4,PIIND24JANFUT
55376,5864.3,DRREDDY24JANFUT
55429,164.5,L&TFH24JANFUT
55373,3939.3,DIVISLAB24JANFUT
55461,1459.75,OBEROIRLTY24JANFUT
55361,384.65,COALINDIA24JANFUT
55358,382.95,CHAMBLFERT24JANFUT
55512,1804.65,UBL24JANFUT
55365,1250.6,COROMANDEL24JANFUT
55483,1444.05,SBILIFE24JANFUT
55367,153.1,CUB24JANFUT
55397,614.65,HINDALCO24JANFUT
55390,2847.2,HAL24JANFUT
55482,771.8,SBICARD24JANFUT
55494,716.65,SUNTV24JANFUT
55325,2941,ADANIENT24JANFUT
55406,17.05,IDEA24JANFUT
55354,5321.55,BRITANNIA24JANFUT
55465,941.8,PEL24JANFUT
55408,88.4,IDFCFIRSTB24JANFUT
